update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1257.1950217039762,1,0.05986328050494194,0.23184948844498324,0.0,0.957812488079071,1.6875,6.535659396725016,0.0,27.0,1.9071760028600693,-0.09926877170801163,-0.024488011957146227,0.004951505194185302,0.055376766102117406,0.05986328050494194,0.23184948844498324,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,3446.0818841826845,2,0.05986328050494194,0.23184948844498324,0.0,0.957812488079071,1.6875,6.535659396725016,0.0,27.0,1.938104823231697,-0.06666913162916899,-0.01295258302707225,0.00016877321650099475,0.008130339079489665,0.05986328050494194,0.23184948844498324,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3230.6152552393532,2,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071,23.5625,84.53769037387998,0.0,350.0,1.9379869848489761,-0.047700089402496815,-0.017160465708002448,0.0031211744862957858,0.015244223844956545,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3096.916036522977,3,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071,23.5625,84.53769037387998,0.0,350.0,1.9400572329759598,-0.043149038683623075,-0.007399947673548013,0.00010603271039144602,0.0045801708058544315,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3481.135301290705,4,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071,167.5625,250.13720453732986,0.0,576.0,1.9410938769578934,-0.03624862525612116,-0.007612640911247581,9.447316006117035e-05,0.0038998842445713035,0.11097005009651184,0.2946419454116546,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,3613.509915142867,4,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,220.5625,273.56534154338704,0.0,712.0,1.9395333379507065,-0.020134923281148076,-0.01675090380012989,0.0028590007277671248,0.01656298152584116,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,3517.2591015402354,5,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,220.5625,273.56534154338704,0.0,712.0,1.9362733066082,-0.022465255111455917,-0.004770516708958894,7.417718461510958e-05,0.004137550113572783,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,3591.6398164110337,5,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,220.5625,273.56534154338704,0.0,712.0,1.9386946111917496,-0.020319835748523474,-0.003936384804546833,5.206715968597564e-05,0.002838061948864885,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,3387.7258453110794,6,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,472.5625,411.9933204479776,0.0,1152.0,1.9409588128328323,-0.016743024461902678,-0.003917556896340102,3.744783407455543e-05,0.0030399550215337167,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,3175.0636189273673,7,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,544.5625,423.614796830505,0.0,1152.0,1.9430531710386276,-0.016527694649994373,-0.002553077327320352,4.028957687296497e-05,0.0020892216809785995,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
11,22528,3002.9937845596,7,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,544.5625,423.614796830505,0.0,1152.0,1.9443849325180054,-0.014494324219413102,-0.0020888185827061534,2.555570404183527e-05,0.0019337994486054064,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
12,24576,3081.8164242333787,8,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,544.5625,423.614796830505,0.0,1152.0,1.9445144683122635,-0.012259939569048584,-0.00220445248123724,2.5834225425569457e-05,0.0017122044734374944,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
13,26624,3077.853294564269,9,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071,544.5625,423.614796830505,0.0,1152.0,1.9446025043725967,-0.010824674158357084,-0.0019799628062173724,2.4416563064733054e-05,0.001817025928337308,0.18792317621409893,0.3389395291251154,0.0,0.957812488079071
14,28672,3093.599043461976,9,0.08496093843132257,0.21183610744456347,0.0,0.7875000238418579,1095.875,511.27901812513295,136.0,1728.0,1.9448314160108566,-0.008255242311861366,-0.0029339388420339674,9.036462688527536e-05,0.002411211364956617,0.08496093843132257,0.21183610744456347,0.0,0.7875000238418579
15,30720,3059.659029571349,10,0.08496093843132257,0.21183610744456347,0.0,0.7875000238418579,1131.875,493.37129464025367,136.0,1728.0,1.944900929927826,-0.006472192471846938,-0.0011757479223888367,1.2407298072503181e-05,0.0011515201682245073,0.08496093843132257,0.21183610744456347,0.0,0.7875000238418579
16,32768,3013.5289155388064,11,0.14407552126795053,0.2953771895575905,0.0,0.9458333253860474,1102.375,537.8341839033662,104.0,1728.0,1.9420974105596542,0.002529717186916969,-0.008751860907068476,0.0029777989475405775,0.013516761459491704,0.14407552126795053,0.2953771895575905,0.0,0.9458333253860474
17,34816,3032.2203547901327,11,0.14407552126795053,0.2953771895575905,0.0,0.9458333253860474,1102.375,537.8341839033662,104.0,1728.0,1.9405479729175568,-0.0037769419432152063,-0.000194998267943447,5.239599659034866e-05,0.0028954093588019567,0.14407552126795053,0.2953771895575905,0.0,0.9458333253860474
18,36864,2996.532365412288,12,0.09485676977783442,0.24545440553176961,0.0,0.9458333253860474,1237.875,550.2560625517905,104.0,2304.0,1.9425328522920609,-0.0020259668526705354,-0.00050190187721455,1.5498647940148658e-05,0.0016977315284880756,0.09485676977783442,0.24545440553176961,0.0,0.9458333253860474
19,38912,3057.415639067022,13,0.09485676977783442,0.24545440553176961,0.0,0.9458333253860474,1237.875,550.2560625517905,104.0,2304.0,1.9438281208276749,-0.0009997817542171106,1.0109416507475544e-05,9.828103884501616e-06,0.000905384717563432,0.09485676977783442,0.24545440553176961,0.0,0.9458333253860474
20,40960,2963.553735779405,13,0.06712239515036345,0.22898281040568844,0.0,0.9458333253860474,1301.375,544.4991821619202,104.0,2304.0,1.944399818778038,-0.0010476239258423448,-0.00031297221585191437,8.331116873705469e-06,0.0008721995829087336,0.06712239515036345,0.22898281040568844,0.0,0.9458333253860474
21,43008,3058.875647033687,14,0.06712239515036345,0.22898281040568844,0.0,0.9458333253860474,1409.375,561.0332961375822,104.0,2304.0,1.9446735829114914,-0.0008494695139233954,-0.00018123750578524778,6.834276234712888e-06,0.0006796552622988859,0.06712239515036345,0.22898281040568844,0.0,0.9458333253860474
22,45056,3149.571923350789,15,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474,1359.4375,614.711311180907,104.0,2304.0,1.9435762614011765,0.002735886548180133,-0.004155290967901237,0.0008170869950845372,0.005988815700497479,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474
23,47104,2990.1226314671903,15,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474,1431.4375,652.5021042830053,104.0,2304.0,1.9441635310649872,0.0012092583638150245,0.00024215473672484222,1.0357028827456816e-05,0.0009555891178281687,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474
24,49152,3228.575323724459,16,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474,1431.4375,652.5021042830053,104.0,2304.0,1.9450034499168396,0.0006801130366511643,-4.560811703413492e-05,5.847008083037508e-06,0.0009326184213387836,0.0951497396454215,0.24587310358909142,0.0,0.9458333253860474
